ketinggianAir,suhuAir,suhuUdara,kelembapanUdara,tds,orp,do,ph,label,lokasi
111.0,29.94,27.0,43.0,715.8,320.18,29.32,8.83,1.0,3.0
115.0,29.34,27.24,43.06,716.21,322.32,29.13,8.65,1.0,3.0
120.0,29.12,27.57,43.17,717.57,321.76,28.98,8.21,1.0,3.0
119.0,29.27,27.62,43.21,716.47,319.63,28.48,7.94,1.0,3.0
123.0,29.24,27.78,43.28,717.0,318.82,29.84,7.67,1.0,3.0
122.0,29.18,28.02,43.32,718.1,319.84,28.83,8.23,1.0,3.0
125.0,29.06,28.13,43.42,718.35,320.52,29.39,7.84,1.0,3.0
124.0,28.94,28.19,43.49,718.32,321.93,29.85,8.43,1.0,3.0
127.0,28.94,28.36,43.31,719.24,322.52,29.99,9.01,1.0,3.0
130.0,28.95,28.42,43.24,718.1,323.23,30.21,8.87,1.0,3.0
132.0,28.89,28.31,43.15,718.23,324.29,29.79,8.18,1.0,3.0
136.0,29.0,28.23,43.06,718.28,322.83,28.42,7.69,1.0,3.0
132.0,29.09,28.14,42.97,718.36,322.23,28.12,8.12,1.0,3.0
129.0,29.09,28.03,42.86,718.25,323.63,27.87,8.35,1.0,3.0
132.0,28.98,27.95,42.74,717.58,321.43,27.42,8.63,1.0,3.0
135.0,29.1,27.85,42.62,717.24,320.74,27.89,8.96,1.0,3.0
138.0,29.2,27.74,42.79,717.18,320.32,28.42,9.34,1.0,3.0
137.0,29.27,27.65,42.86,717.63,319.85,28.79,9.12,1.0,3.0
140.0,29.24,27.53,42.99,717.83,329.12,29.32,8.85,1.0,3.0
139.0,29.28,27.41,43.05,717.32,319.45,28.75,8.65,1.0,3.0
127.0,30.12,29.0,40.0,516.75,294.46,22.41,6.02,2.0,2.0
134.0,30.19,29.05,40.05,516.87,294.57,22.56,6.09,2.0,2.0
142.0,30.23,29.13,40.17,516.93,294.62,22.67,6.13,2.0,2.0
151.0,30.28,29.19,40.23,517.03,294.78,22.78,6.17,2.0,2.0
147.0,30.37,29.24,40.29,517.11,294.83,22.94,6.26,2.0,2.0
133.0,30.21,29.31,40.34,517.18,294.97,23.06,6.35,2.0,2.0
129.0,30.15,29.28,40.25,517.23,295.05,23.14,6.47,2.0,2.0
114.0,30.06,29.15,40.13,517.29,295.11,23.21,6.31,2.0,2.0
125.0,29.98,29.03,40.02,517.34,295.19,23.27,6.29,2.0,2.0
131.0,29.87,28.97,39.95,517.25,295.24,23.31,6.17,2.0,2.0
137.0,29.76,28.85,39.87,517.14,295.14,23.2,6.11,2.0,2.0
142.0,29.77,28.77,39.74,517.03,295.03,23.11,6.04,2.0,2.0
148.0,29.84,28.64,39.82,516.96,294.97,23.03,5.97,2.0,2.0
139.0,29.91,28.79,39.96,516.87,294.86,22.91,5.85,2.0,2.0
123.0,30.04,28.83,40.07,516.82,294.77,22.85,5.68,2.0,2.0
127.0,30.13,28.95,40.14,516.75,294.69,22.74,5.79,2.0,2.0
134.0,30.22,29.04,40.19,516.63,294.71,22.67,5.81,2.0,2.0
138.0,30.17,29.15,40.17,516.79,294.63,22.58,5.92,2.0,2.0
142.0,30.25,29.21,40.24,516.84,294.58,22.64,6.07,2.0,2.0
132.0,30.11,29.26,40.11,516.77,294.43,22.59,6.12,2.0,2.0
112.0,29.87,30.0,36.0,521.46,242.42,22.42,5.06,3.0,2.0
119.0,29.95,30.04,36.07,521.57,242.56,22.56,5.11,3.0,2.0
123.0,30.04,30.13,36.13,521.68,242.67,22.68,5.17,3.0,2.0
127.0,30.13,30.19,36.24,521.84,242.72,22.73,5.24,3.0,2.0
134.0,30.19,30.23,36.29,521.96,242.89,22.84,5.32,3.0,2.0
142.0,30.24,30.31,36.34,522.04,242.95,22.95,5.46,3.0,2.0
131.0,30.31,30.36,36.41,522.09,243.06,23.02,5.31,3.0,2.0
124.0,30.38,30.42,36.35,522.15,243.14,23.09,5.28,3.0,2.0
115.0,30.42,30.32,36.24,522.21,243.19,23.14,5.14,3.0,2.0
126.0,30.32,30.19,36.15,522.28,243.26,23.18,5.06,3.0,2.0
135.0,30.27,30.04,36.03,522.34,243.35,23.24,4.96,3.0,1.0
142.0,30.14,29.97,35.98,522.46,243.45,23.31,4.83,3.0,1.0
149.0,30.06,29.85,35.86,522.31,243.31,23.27,4.77,3.0,1.0
136.0,29.97,29.76,35.75,522.23,243.25,23.16,4.62,3.0,1.0
129.0,29.85,29.63,35.69,522.16,243.17,23.05,4.79,3.0,1.0
124.0,29.74,29.78,35.73,522.05,243.04,22.98,4.91,3.0,1.0
